"","First","Last","Gender","Team","Meet","EventNo","Distance","Course","Stroke","PrelimPlace","FinalPlace","SeedTime","PrelimTime","FinalTime","LogSeedTime","LogPrelimTime","LogFinalTime"
"1","William","McKinney","M","AUB","2018 SEC","12","50","Y","Free","29",NA,20.07,20.12,NA,2.99922616280825,3.00171434523154,NA
"2","Marc","Hinawi","M","TENN","2018 SEC","8","500","Y","Free","19","20",259.09,261.23,260.09,5.55717549168624,5.56540124532461,5.56102772496426
"3","William","McKinney","M","AUB","2018 SEC","37","100","Y","Free","51",NA,45.12,45.51,NA,3.8093256071898,3.81793208202855,NA
"4","Ayumi","Macias","F","UARK","2018 SEC","21","200","Y","Free","28",NA,108.98,108.29,NA,4.69116437915495,4.68481281364029,NA
"5","Ayumi","Macias","F","UARK","2018 SEC","7","500","Y","Free","10","12",287.77,283.86,283.32,5.6621615499651,5.64848115887111,5.64657700088542
"6","Erin","Kelly","F","UARK","2018 SEC","21","200","Y","Free","61",NA,114.3,114.42,NA,4.73882657080077,4.73987588884038,NA
"7","Erin","Kelly","F","UARK","2018 SEC","36","100","Y","Free","40",NA,50.69,50.56,NA,3.92572865248426,3.9231607498386,NA
"8","Jake","Markham","M","LSU","2018 SEC","22","200","Y","Free","17","18",97.82,96.18,95.98,4.58312905511121,4.56622143584952,4.5641398364301
"9","Joao Victor","Mescolote","M","LSU","2018 SEC","12","50","Y","Free","15","14",20.16,19.95,19.91,3.00370044320317,2.99322914333587,2.9912221180761
"10","Jake","Markham","M","LSU","2018 SEC","37","100","Y","Free","28",NA,45.09,44.44,NA,3.80866049243299,3.79413996477143,NA
"11","Joao Victor","Mescolote","M","LSU","2018 SEC","37","100","Y","Free","26",NA,44.89,44.34,NA,3.80421505279384,3.79188720418817,NA
"12","Maxime","Rooney","M","FLOR","2018 SEC","22","200","Y","Free","3","2",93.65,93.67,92.97,4.5395644288901,4.53977796722104,4.53227686046777
"13","Raiz","Tjon-A-Joe","M","TA&M","2018 SEC","37","100","Y","Free","49",NA,45.67,45.35,NA,3.82144162719691,3.81441017656115,NA
"14","Matthew","Beach","M","UKY","2018 SEC","8","500","Y","Free","43",NA,275.04,271.51,NA,5.61691654163454,5.60399897110822,NA
"15","Tennyson","Henry","F","LSU","2018 SEC","21","200","Y","Free","37",NA,108.77,109.35,NA,4.68923556110576,4.69455374712278,NA
"16","Gabrielle","Fa'amausili","F","UGA","2018 SEC","36","100","Y","Free","12","13",51.01,48.99,49.07,3.93202169193483,3.89161619565048,3.89324785010181
"17","Tennyson","Henry","F","LSU","2018 SEC","7","500","Y","Free","51",NA,294.66,299.05,NA,5.68582214927921,5.70061078349057,NA
"18","Kathryn","Portz","F","TA&M","2018 SEC","21","200","Y","Free","3","4",105.43,105.51,105.08,4.65804722558886,4.658805735154,4.65472196481734
"19","Kathryn","Portz","F","TA&M","2018 SEC","36","100","Y","Free","10","12",49.21,48.88,48.99,3.89609685487789,3.88936831486334,3.89161619565048
"20","Kathryn","Portz","F","TA&M","2018 SEC","7","500","Y","Free","7","7",281.47,283.09,283.37,5.6400258699645,5.64576486828663,5.64675346420798
"21","Courtney","Harnish","F","UGA","2018 SEC","21","200","Y","Free","12","11",104.47,106.38,106.26,4.64889994884942,4.66701758931417,4.6658889210228
"22","Courtney","Harnish","F","UGA","2018 SEC","7","500","Y","Free","3","2",275.69,281.61,278.21,5.61927704606254,5.64052313501701,5.62837622420637
"23","Austin","Hirstein","M","TENN","2018 SEC","37","100","Y","Free","17","18",44.38,44,43.93,3.79278891750445,3.78418963391826,3.78259745798769
"24","Allen","Ross","M","SCAR","2018 SEC","12","50","Y","Free","26",NA,20.99,20.1,NA,3.04404613383254,3.00071981506503,NA
"25","Allen","Ross","M","SCAR","2018 SEC","22","200","Y","Free","37",NA,100.2,98.43,NA,4.60716818865076,4.58934563564112,NA
"26","Geena","Freriks","F","UKY","2018 SEC","21","200","Y","Free","11","10",105.39,106.16,105.52,4.65766775494585,4.66494739002395,4.65890050840906
"27","Jake","Gibbons","M","TA&M","2018 SEC","8","500","Y","Free","29",NA,267.22,264.45,NA,5.58807228916075,5.57765219751199,NA
